"EX-1.1000.000","Exportación Definitiva, Exportación Definitiva, Régimen Común"
"EX-1.1040.000","Exportación Definitiva, Exportación Definitiva Sustitución de Mercancías, Régimen Común"
"EX-1.1041.020","Exportación Definitiva, Exportación Definitiva Proveniente de Franquicia Provisional, Franq. Presidenciales exento de DAI"
"EX-1.1041.021","Exportación Definitiva, Exportación Definitiva Proveniente de Franquicia Provisional, Franq. Presidenciales exento de DAI e IVA"
"EX-1.1048.025","Exportación Definitiva, Exportación Definitiva Proveniente de Franquicia Definitiva, Maquinaria y Equipo LZF. DPA"
"EX-1.1048.031","Exportación Definitiva, Exportación Definitiva Proveniente de Franquicia Definitiva, Distribución Internacional"
"EX-1.1048.032","Exportación Definitiva, Exportación Definitiva Proveniente. de Franquicia Definitiva, Operaciones Internacionales de Logística"
"EX-1.1048.033","Exportación Definitiva, Exportación Definitiva Proveniente de Franquicia Definitiva, Centro Internacional de llamadas (Call Center)"
"EX-1.1048.034","Exportación Definitiva, Exportación Definitiva Proveniente de Franquicia Definitiva, Tecnologías de Información LSI"
"EX-1.1048.035","Exportación Definitiva, Exportación Definitiva Proveniente de Franquicia Definitiva, Investigación y Desarrollo LSI"
"EX-1.1048.036","Exportación Definitiva, Exportación Definitiva Proveniente de Franquicia Definitiva, Reparación y Mantenimiento de Embarcaciones Marítimas LSI"
"EX-1.1048.037","Exportación Definitiva, Exportación Definitiva Proveniente de Franquicia Definitiva, Reparación y Mantenimiento de Aeronaves LSI"
"EX-1.1048.038","Exportación Definitiva, Exportación Definitiva Proveniente de Franquicia Definitiva, Procesos Empresariales LSI"
"EX-1.1048.039","Exportación Definitiva, Exportación Definitiva Proveniente de Franquicia Definitiva, Servicios Medico-Hospitalarios LSI"
"EX-1.1048.040","Exportación Definitiva, Exportación Definitiva Proveniente de Franquicia Definitiva, Servicios Financieros Internacionales LSI"
"EX-1.1048.043","Exportación Definitiva, Exportación Definitiva Proveniente de Franquicia Definitiva, Reparación y Mantenimiento de Contenedores LSI"
"EX-1.1048.044","Exportación Definitiva, Exportación Definitiva Proveniente de Franquicia Definitiva, Reparación de Equipos Tecnológicos LSI"
"EX-1.1048.054","Exportación Definitiva, Exportación Definitiva Proveniente de Franquicia Definitiva, Atención Ancianos y Convalecientes LSI"
"EX-1.1048.055","Exportación Definitiva, Exportación Definitiva Proveniente de Franquicia Definitiva, Telemedicina LSI"
"EX-1.1048.056","Exportación Definitiva, Exportación Definitiva Proveniente de Franquicia Definitiva, Cinematografía LSI"
"EX-1.1052.000","Exportación Definitiva, Exportación Definitiva de DPA con origen en Compras Locales, Régimen Común"
"EX-1.1054.000","Exportación Definitiva, Exportación Definitiva de Zona Franca con origen en Compras Locales, Régimen Común"
"EX-1.1100.000","Exportación Definitiva, Exportación Definitiva de Envíos de Socorro, Régimen Común"
"EX-1.1200.000","Exportación Definitiva, Exportación Definitiva de Envíos Postales, Régimen Común"
"EX-1.1300.000","Exportación Definitiva, Exportación Definitiva Envíos que requieren despacho urgente, Régimen Común"
"EX-1.1400.000","Exportación Definitiva, Exportación Definitiva Courier, Régimen Común"
"EX-1.1400.011","Exportación Definitiva, Exportación Definitiva Courier, Muestras Sin Valor Comercial"
"EX-1.1400.012","Exportación Definitiva, Exportación Definitiva Courier, Material Publicitario"
"EX-1.1400.017","Exportación Definitiva, Exportación Definitiva Courier, Declaración de Documentos"
"EX-1.1500.000","Exportación Definitiva, Exportación Definitiva Menaje de casa, Régimen Común"
"EX-2.2100.000","Exportación Temporal, Exportación Temporal para Perfeccionamiento Pasivo, Régimen Común"
"EX-2.2200.000","Exportación Temporal, Exportación Temporal con Reimportación en el mismo estado, Régimen Común"
"EX-3.3050.000","Re-Exportación, Reexportación Proveniente de Importación Temporal, Régimen Común"
"EX-3.3051.000","Re-Exportación, Reexportación Proveniente de Tiendas Libres, Régimen Común"
"EX-3.3052.000","Re-Exportación, Reexportación Proveniente de Admisión Temporal para Perfeccionamiento Activo, Régimen Común"
"EX-3.3053.000","Re-Exportación, Reexportación Proveniente de Admisión Temporal, Régimen Común"
"EX-3.3054.000","Re-Exportación, Reexportación Proveniente de Régimen de Zona Franca, Régimen Común"
"EX-3.3055.000","Re-Exportación, Reexportación Proveniente de Admisión Temporal para Perfeccionamiento Activo con Garantía, Régimen Común"
"EX-3.3056.000","Re-Exportación, Reexportación Proveniente de Admisión Temporal Distribución Internacional Parque de Servicios, Régimen Común"
"EX-3.3056.057","Re-Exportación, Reexportación Proveniente de Admisión Temporal Distribución Internacional Parque de Servicios, Remisión entre Usuarios Directos del Mismo Parque de Servicios"
"EX-3.3056.058","Re-Exportación, Reexportación Proveniente de Admisión Temporal Distribución Internacional Parque de Servicios, Remisión entre Usuarios Directos de Diferente Parque de Servicios"
"EX-3.3056.072","Re-Exportación, Reexportación Proveniente de Admisión Temporal Distribución Internacional Parque de Servicios, Decreto 738 Eléctricos e Híbridos"
"EX-3.3057.000","Re-Exportación, Reexportación Proveniente de Admisión Temporal Operaciones Internacional de Logística Parque de Servicios, Régimen Común"
"EX-3.3057.057","Re-Exportación, Reexportación Proveniente de Admisión Temporal Operaciones Internacional de Logística Parque de Servicios, Remisión entre Usuarios Directos del Mismo Parque de Servicios"
"EX-3.3057.058","Re-Exportación, Reexportación Proveniente de Admisión Temporal Operaciones Internacional de Logística Parque de Servicios, Remisión entre Usuarios Directos de Diferente Parque de Servicios"
"EX-3.3058.033","Re-Exportación, Reexportación Proveniente de Admisión Temporal Centro Servicio LSI, Centro Internacional de llamadas (Call Center)"
"EX-3.3058.036","Re-Exportación, Reexportación Proveniente de Admisión Temporal Centro Servicio LSI, Reparación y Mantenimiento de Embarcaciones Marítimas LSI"
"EX-3.3058.037","Re-Exportación, Reexportación Proveniente de Admisión Temporal Centro Servicio LSI, Reparación y Mantenimiento de Aeronaves LSI"
"EX-3.3058.043","Re-Exportación, Reexportación Proveniente de Admisión Temporal Centro Servicio LSI, Reparación y Mantenimiento de Contenedores LSI"
"EX-3.3059.000","Re-Exportación, Reexportación Proveniente de Admisión Temporal Reparación de Equipo Tecnológico Parque de Servicios, Régimen Común"
"EX-3.3059.057","Re-Exportación, Reexportación Proveniente de Admisión Temporal Reparación de Equipo Tecnológico Parque de Servicios, Remisión entre Usuarios Directos del Mismo Parque de Servicios"
"EX-3.3059.058","Re-Exportación, Reexportación Proveniente de Admisión Temporal Reparación de Equipo Tecnológico Parque de Servicios, Remisión entre Usuarios Directos de Diferente Parque de Servicios"
"EX-3.3070.000","Re-Exportación, Reexportación Proveniente de Depósito., Régimen Común"
"EX-3.3070.072","Re-Exportación, Reexportación Proveniente de Depósito., Decreto 738 Eléctricos e Híbridos"
"EX-2.2400.000","Traslados Definitivos"
"EX-3.3071.000","Reexp. Prov. de Deposito"
"EX-3.3052.000","Reexp. Prov de Adm Temp. para Perfeccionamiento Activo"
"EX-3.3054.000","Reexp. Prov. de Régimen de Zona Franca"
"EX-3.3055.000","Reexp. Prov. de Adm.Temporal para Perfeccionamiento Activo con Garantía"
"EX-3.3056.000","Re-Exp. Prov.de Adm.Temporal Ley de Servi. Internacionales"
"EX-3.3057.000","Reexportación Prov. de Centro de Servicio LSI"